City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Riohacha,CO,89.46,scattered clouds,11.5444,-72.9072,Hotel Taroa
2,Pochutla,MX,74.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
5,East London,ZA,66.04,broken clouds,-33.0153,27.9116,Tu Casa
11,Maragogi,BR,84.09,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
20,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
23,Prainha,BR,88.92,heavy intensity rain,-1.8,-53.48,Casa Rocha
24,Juruti,BR,89.64,light rain,-2.1522,-56.0922,Hotel Acauã - ORLA
27,Rikitea,PF,74.48,broken clouds,-23.1203,-134.9692,People ThankYou
30,Mantua,IT,67.73,broken clouds,45.1667,10.7833,Hotel la Favorita
31,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
32,Castro,BR,75.92,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
35,Carnarvon,AU,71.44,clear sky,-24.8667,113.6333,Hospitality Carnarvon
43,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
44,Cidreira,BR,73.74,light rain,-30.1811,-50.2056,Hotel Castelo
45,Isangel,VU,71.71,broken clouds,-19.55,169.2667,Tanna Lodge
48,Buchanan,LR,80.85,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
49,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
51,Vao,NC,71.78,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
53,Cape Town,ZA,66.09,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
54,Butaritari,KI,81.21,broken clouds,3.0707,172.7902,Isles Sunset Lodge
58,Puerto Ayora,EC,69.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Sagaing,MM,74.95,broken clouds,21.8787,95.9797,Makara Cruise
