City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Riohacha,CO,11.5444,-72.9072,89.46,59,27,16.69,scattered clouds
1,Barrow,US,71.2906,-156.7887,27.3,94,100,15.84,overcast clouds
2,Pochutla,MX,15.7432,-96.4661,74.82,88,97,2.3,overcast clouds
3,Ahipara,NZ,-35.1667,173.1667,60.6,97,99,1.72,light rain
4,Khatanga,RU,71.9667,102.5,13.1,92,100,17.18,overcast clouds
5,East London,ZA,-33.0153,27.9116,66.04,64,65,30.09,broken clouds
6,Ushuaia,AR,-54.8,-68.3,44.22,87,90,31.07,moderate rain
7,Busselton,AU,-33.65,115.3333,55.09,84,11,7.36,few clouds
8,Hovd,MN,48.0056,91.6419,37.89,51,97,5.26,overcast clouds
9,Mihail Kogalniceanu,RO,44.3667,28.45,55.67,71,0,5.75,light rain
10,Cherskiy,RU,68.75,161.3,-7.17,100,100,1.99,overcast clouds
11,Maragogi,BR,-9.0122,-35.2225,84.09,67,86,13.22,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,63.46,64,39,33.51,scattered clouds
13,Kabo,CF,7.6994,18.629,79.77,80,29,4.61,scattered clouds
14,Chuy,UY,-33.6971,-53.4616,64.18,62,100,2.95,moderate rain
15,Hobart,AU,-42.8794,147.3294,53.02,92,90,4.0,moderate rain
16,Nemuro,JP,43.3236,145.575,44.4,73,39,10.6,scattered clouds
17,Bredasdorp,ZA,-34.5322,20.0403,57.27,56,86,14.14,overcast clouds
18,Vagay,RU,57.9375,69.0217,46.83,73,99,14.61,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,50.22,87,100,0.34,overcast clouds
20,Vaini,TO,-21.2,-175.2,69.96,88,75,9.22,broken clouds
21,Albany,US,42.6001,-73.9662,51.8,64,58,1.01,broken clouds
22,Jamestown,US,42.097,-79.2353,49.01,84,90,1.01,overcast clouds
23,Prainha,BR,-1.8,-53.48,88.92,53,50,3.47,heavy intensity rain
24,Juruti,BR,-2.1522,-56.0922,89.64,57,83,3.31,light rain
25,Qaanaaq,GL,77.484,-69.3632,-1.32,59,0,8.3,clear sky
26,Iqaluit,CA,63.7506,-68.5145,29.7,80,93,5.01,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,74.48,82,59,20.49,broken clouds
28,Jardim,BR,-21.4803,-56.1381,99.48,33,10,15.1,clear sky
29,Bluff,NZ,-46.6,168.3333,52.92,85,100,3.71,overcast clouds
30,Mantua,IT,45.1667,10.7833,67.73,79,71,1.01,broken clouds
31,Bambous Virieux,MU,-20.3428,57.7575,75.22,78,18,10.71,few clouds
32,Castro,BR,-24.7911,-50.0119,75.92,41,98,9.82,overcast clouds
33,Grindavik,IS,63.8424,-22.4338,46.87,100,90,13.8,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,52.66,82,100,7.0,light rain
35,Carnarvon,AU,-24.8667,113.6333,71.44,73,0,18.68,clear sky
36,Verkhovazhye,RU,60.7472,42.0465,38.19,97,100,5.21,overcast clouds
37,Coquimbo,CL,-29.9533,-71.3436,61.74,64,1,8.66,clear sky
38,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,16.11,overcast clouds
39,Ust-Koksa,RU,50.2696,85.6108,27.21,71,51,3.27,broken clouds
40,Hermanus,ZA,-34.4187,19.2345,61.9,67,68,11.23,broken clouds
41,Kodiak,US,57.79,-152.4072,42.49,83,100,15.55,light rain
42,Saskylakh,RU,71.9167,114.0833,6.17,95,100,14.7,light snow
43,Georgetown,MY,5.4112,100.3354,80.89,84,40,8.99,scattered clouds
44,Cidreira,BR,-30.1811,-50.2056,73.74,68,69,12.03,light rain
45,Isangel,VU,-19.55,169.2667,71.71,88,81,4.61,broken clouds
46,Longyearbyen,SJ,78.2186,15.6401,21.04,86,20,3.44,few clouds
